Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Torque_0,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6,Current_0,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Velocity_0,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.0007048138650134206,34.556861877441406,32.63776779174805,32.55559158325195,32.856910705566406,39.84443283081055,41.22614669799805,42.49103927612305,-0.22575269639492035,0.3819248080253601,-0.294575959444046,-0.09904330968856812,-0.5201682448387146,0.15993724763393402,-0.20661954581737518,-0.008056640625,0.01611328125,0.22572974860668182,0.056969054043293,-0.0684814453125,-0.12890625,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.0007048138650134206,34.556861877441406,32.63776779174805,32.55559158325195,32.856910705566406,39.84443283081055,41.22614669799805,42.49103927612305,-0.22575269639492035,0.3819248080253601,-0.294575959444046,-0.09904330968856812,-0.5201682448387146,0.15993724763393402,-0.20661954581737518,-0.008056640625,0.01611328125,0.22572974860668182,0.056969054043293,-0.0684814453125,-0.12890625,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.0007048138650134206,34.556861877441406,32.63776779174805,32.55559158325195,32.856910705566406,39.84443283081055,41.22614669799805,42.49103927612305,-0.22575269639492035,0.3819248080253601,-0.294575959444046,-0.09904330968856812,-0.5201682448387146,0.15993724763393402,-0.20661954581737518,-0.008056640625,0.01611328125,0.22572974860668182,0.056969054043293,-0.0684814453125,-0.12890625,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.0007048138650134206,34.556861877441406,32.63776779174805,32.55559158325195,32.856910705566406,39.84443283081055,41.22614669799805,42.49103927612305,-0.22575269639492035,0.3819248080253601,-0.294575959444046,-0.09904330968856812,-0.5201682448387146,0.15993724763393402,-0.20661954581737518,-0.008056640625,0.01611328125,0.22572974860668182,0.056969054043293,-0.0684814453125,-0.12890625,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.5625,32.65388107299805,32.566062927246094,32.85771560668945,39.82429122924805,41.23259353637695,42.491844177246094,-0.21904756128787994,0.3939155340194702,-0.30267730355262756,-0.09687551110982895,-0.525966227054596,0.16602645814418793,-0.21035760641098022,-0.011393810622394085,0.01611328125,0.23378144204616547,0.064453125,-0.06095954775810242,-0.1329345703125,-0.0684814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.000650308036711067,34.556861877441406,32.647438049316406,32.545921325683594,32.856101989746094,39.84846115112305,41.243873596191406,42.488624572753906,-0.20443259179592133,0.41119319200515747,-0.30555102229118347,-0.09759089350700378,-0.5253645777702332,0.14772754907608032,-0.21248450875282288,-0.01611328125,0.029048630967736244,0.24169921875,0.04833984375,-0.06859982013702393,-0.136962890625,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,-0.0006076777935959399,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0011991278734058142,0.0007048138650134206,34.5584716796875,32.655494689941406,32.545921325683594,32.856101989746094,39.85248947143555,41.21648025512695,42.48942947387695,-0.21685220301151276,0.383116215467453,-0.2832221984863281,-0.12370171397924423,-0.5003928542137146,0.1520472913980484,-0.22395585477352142,-0.01611328125,0.018015196546912193,0.23378144204616547,0.056969054043293,-0.06055893376469612,-0.1329345703125,-0.08066704869270325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.000650308036711067,34.5584716796875,32.64421463012695,32.5684814453125,32.852073669433594,39.84282302856445,41.231788635253906,42.50715255737305,-0.1876351237297058,0.38402098417282104,-0.2862243354320526,-0.1131485104560852,-0.5220797061920166,0.16443772614002228,-0.21244259178638458,0.008056640625,0.024169921875,0.23419755697250366,0.04108096659183502,-0.06457889080047607,-0.1450754702091217,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56733322143555,32.653076171875,32.55720138549805,32.86335372924805,39.829124450683594,41.23823165893555,42.544212341308594,-0.21217969059944153,0.38893550634384155,-0.2964192032814026,-0.0894765704870224,-0.5419361591339111,0.1752961277961731,-0.21944785118103027,0.008056640625,0.01611328125,0.24183346331119537,0.056969054043293,-0.068953737616539,-0.136962890625,-0.0765380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.000650308036711067,34.577003479003906,32.646629333496094,32.558006286621094,32.86980056762695,39.842018127441406,41.206809997558594,42.51118087768555,-0.22537387907505035,0.42481255531311035,-0.29872989654541016,-0.095206618309021,-0.5190885663032532,0.15118815004825592,-0.20289550721645355,-0.024169921875,0.018015196546912193,0.22572974860668182,0.056396484375,-0.0684814453125,-0.14104874432086945,-0.07664402574300766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.577003479003906,32.650657653808594,32.518531799316406,32.864967346191406,39.837989807128906,41.24628829956055,42.496681213378906,-0.1925918310880661,0.3802899718284607,-0.32797765731811523,-0.09523443877696991,-0.5340133905410767,0.16395512223243713,-0.20384226739406586,-0.01611328125,0.025477334856987,0.23378144204616547,0.050954669713974,-0.0684814453125,-0.1409912109375,-0.0684814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.662742614746094,32.56767654418945,32.86174392700195,39.86699295043945,41.24870681762695,42.50715255737305,-0.20307780802249908,0.3750980496406555,-0.3021623194217682,-0.10669863224029541,-0.5026624202728271,0.1335776001214981,-0.22348244488239288,-0.011393810622394085,0.018015196546912193,0.21767844259738922,0.04833984375,-0.0604248046875,-0.136962890625,-0.08066704869270325,0.0,0.0,0.0,0.00030337978387251496,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.560081481933594,32.643409729003906,32.549949645996094,32.864967346191406,39.8516845703125,41.239036560058594,42.482177734375,-0.19230535626411438,0.3873595893383026,-0.30165916681289673,-0.11144258826971054,-0.5242447257041931,0.1775548905134201,-0.24187450110912323,-0.02278762124478817,0.01611328125,0.23378144204616547,0.04833984375,-0.06457889080047607,-0.1409912109375,-0.06859982013702393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.000650308036711067,34.572975158691406,32.64501953125,32.55156326293945,32.87060546875,39.85087966918945,41.239845275878906,42.51118087768555,-0.23047922551631927,0.37798061966896057,-0.27431151270866394,-0.08288007229566574,-0.5105375647544861,0.1642957478761673,-0.20787641406059265,-0.01611328125,0.024169921875,0.2255859375,0.056396484375,-0.06055893376469612,-0.14104874432086945,-0.07262157648801804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.568138122558594,32.65227127075195,32.554786682128906,32.864158630371094,39.8154296875,41.265625,42.50151443481445,-0.2352781444787979,0.38529080152511597,-0.2864987254142761,-0.07570353150367737,-0.5390172600746155,0.17120657861232758,-0.2282252460718155,-0.01611328125,0.01611328125,0.22572974860668182,0.056969054043293,-0.0684814453125,-0.1329955905675888,-0.072509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.577003479003906,32.651466369628906,32.54833984375,32.856101989746094,39.861351013183594,41.22856521606445,42.553077697753906,-0.18649545311927795,0.3801828622817993,-0.2839789092540741,-0.10751362890005112,-0.5032658576965332,0.15806253254413605,-0.22001832723617554,-0.011393810622394085,0.018015196546912193,0.233642578125,0.056969054043293,-0.05298428237438202,-0.14122121036052704,-0.06457889080047607,0.0,0.0,0.0,0.0,0.0,0.0,0.000606765563134104
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.572975158691406,32.65629959106445,32.566871643066406,32.86738204956055,39.83637619018555,41.273681640625,42.516014099121094,-0.19773748517036438,0.3883202075958252,-0.29855403304100037,-0.07907702028751373,-0.4973572790622711,0.14789508283138275,-0.214274063706398,0.008056640625,0.018015196546912193,0.23378144204616547,0.056969054043293,-0.06457889080047607,-0.13702210783958435,-0.0765380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.892890425864607e-05,359.9998474121094,359.99871826171875,359.99969482421875,0.0005918988026678562,0.0012536337599158287,0.0007048138650134206,34.56975173950195,32.658714294433594,32.5443115234375,32.86174392700195,39.841209411621094,41.243064880371094,42.530517578125,-0.21847757697105408,0.3854546844959259,-0.28224900364875793,-0.09381849318742752,-0.5274383425712585,0.14471735060214996,-0.20724616944789886,-0.011393810622394085,0.018015196546912193,0.22572974860668182,0.056969054043293,-0.064453125,-0.1450754702091217,-0.08469058573246002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
